Date,Open,High,Low,Close,Adj Close,Volume
10/1/2021,10.15,10.22,9.77,10.14,10.14,1862000
10/4/2021,10.06,10.115,9.01,9.07,9.07,3344100
10/5/2021,9.23,9.6,9.07,9.2,9.2,2628300
10/6/2021,9,9.22,8.77,9.19,9.19,1716400
10/7/2021,9.25,9.32,9.1,9.13,9.13,1076900
10/8/2021,9.13,9.3,9.07,9.12,9.12,1216500
10/11/2021,9.17,9.32,8.99,9.03,9.03,907800
10/12/2021,9.06,9.27,9,9.2,9.2,824900
10/13/2021,9.28,9.35,9,9.09,9.09,1219900
10/14/2021,9.15,9.41,9.13,9.34,9.34,2024100
10/15/2021,9.41,9.45,8.58,8.66,8.66,3837700
10/18/2021,8.7,8.92,8.64,8.65,8.65,2472900
10/19/2021,8.82,9.13,8.74,9.01,9.01,2251900
10/20/2021,9.1,9.29,8.97,9.09,9.09,1713200
10/21/2021,9.1,9.157,8.69,8.75,8.75,2177400
10/22/2021,8.76,9,8.72,8.99,8.99,1629300
10/25/2021,9,9.28,8.85,9.16,9.16,2075400
10/26/2021,9.16,9.21,8.765,9.07,9.07,3485800
10/27/2021,9,9.13,8.78,8.8,8.8,1730200
10/28/2021,8.8,8.88,8.67,8.78,8.78,2228100
10/29/2021,8.88,8.9,8.67,8.68,8.68,2080700
11/1/2021,8.74,9.49,8.71,9.49,9.49,3365200
11/2/2021,9.37,10.2,9.37,9.81,9.81,2756000
11/3/2021,9.78,9.82,9.47,9.59,9.59,1632300
11/4/2021,9.6,9.91,9.53,9.67,9.67,1513400
11/5/2021,9.7,10.18,9.68,9.96,9.96,1795800
11/8/2021,10,10.07,9.35,9.45,9.45,2434900
11/9/2021,9.54,9.67,9.25,9.46,9.46,2004300
11/10/2021,9.33,9.62,9.2,9.24,9.24,1836500
11/11/2021,9.305,9.415,9.21,9.29,9.29,1227600
11/12/2021,9.35,9.5,9,9.1,9.1,1818000
11/15/2021,9.13,9.56,9.13,9.39,9.39,2820600
11/16/2021,9.39,9.45,9.26,9.4,9.4,2584000
11/17/2021,9.45,9.48,8.73,8.8,8.8,3300600
11/18/2021,8.87,8.9,8.23,8.29,8.29,4981800
11/19/2021,8.42,8.57,8.331,8.49,8.49,2176100
11/22/2021,8.52,8.56,8.105,8.14,8.14,2302100
11/23/2021,8.25,8.27,7.82,7.92,7.92,3063700
11/24/2021,7.87,8.27,7.75,8.22,8.22,2340800
11/26/2021,8.02,8.46,7.9,8.39,8.39,1469600
11/29/2021,8.37,8.43,7.92,8.09,8.09,2831400
11/30/2021,7.98,8.1,7.77,7.93,7.93,2261400
12/1/2021,8.02,8.13,7.27,7.31,7.31,3268200
12/2/2021,7.36,7.65,7.239,7.62,7.62,3195800
12/3/2021,7.65,7.68,6.85,7.06,7.06,4323800
12/6/2021,7.08,7.12,6.66,6.85,6.85,3750000
12/7/2021,7.06,7.245,6.98,7.07,7.07,2228200
12/8/2021,7.09,7.235,7.06,7.18,7.18,2256200
12/9/2021,7.18,7.19,6.863,6.88,6.88,2263800
12/10/2021,6.9,7,6.755,6.79,6.79,1619600
12/13/2021,6.77,7.05,6.27,6.41,6.41,3898400
12/14/2021,6.31,6.515,6.3,6.37,6.37,2001400
12/15/2021,6.4,6.455,6.06,6.37,6.37,4056800
12/16/2021,6.61,7.04,6.52,6.52,6.52,4244200
12/17/2021,6.61,7.13,6.41,6.98,6.98,8052300
12/20/2021,6.79,6.87,6.58,6.79,6.79,2786700
12/21/2021,6.81,7.28,6.81,7.12,7.12,2428800
12/22/2021,7.12,7.24,6.96,7.1,7.1,1880000
12/23/2021,7.13,7.46,7.11,7.37,7.37,1959100
12/27/2021,7.37,7.52,7.17,7.28,7.28,1779000
12/28/2021,7.24,7.59,7.12,7.37,7.37,1964700
12/29/2021,7.31,7.35,6.96,6.98,6.98,1978900
12/30/2021,6.98,7.53,6.93,7.38,7.38,3348100
12/31/2021,7.33,7.45,7.26,7.3,7.3,1448000
1/3/2022,7.35,7.6,7.18,7.48,7.48,1850600
1/4/2022,7.53,7.59,7.15,7.24,7.24,1435100
1/5/2022,7.23,7.54,6.935,6.97,6.97,1773300
1/6/2022,6.97,7.05,6.315,6.35,6.35,3642600
1/7/2022,6.39,6.58,6.2,6.3,6.3,3256900
1/10/2022,6.25,6.28,5.83,5.94,5.94,4559200
1/11/2022,6,6.44,5.91,6.32,6.32,2487500
1/12/2022,6.4,6.44,6.22,6.33,6.33,1885300
1/13/2022,6.35,6.39,5.765,5.82,5.82,3876400
1/14/2022,5.77,5.97,5.56,5.71,5.71,4195100
1/18/2022,5.59,5.64,5.062,5.12,5.12,6630600
1/19/2022,5.25,5.27,4.8,4.81,4.81,5059200
1/20/2022,4.96,5.27,4.85,4.88,4.88,5511500
1/21/2022,4.88,4.88,4.39,4.47,4.47,7142700
1/24/2022,4.35,4.35,3.95,4.33,4.33,10053300
1/25/2022,4.28,4.38,4.185,4.27,4.27,5785900
1/26/2022,4.42,4.48,3.99,4.03,4.03,4801300
1/27/2022,4.06,4.1,3.8,3.83,3.83,4623600
1/28/2022,3.89,3.89,3.64,3.78,3.78,6381300
1/31/2022,3.85,4.28,3.78,4.15,4.15,7622300
2/1/2022,4.2,4.27,4.06,4.1,4.1,5484900
2/2/2022,4.11,4.19,3.87,3.9,3.9,4585300
2/3/2022,3.84,3.89,3.615,3.63,3.63,5396200
2/4/2022,3.68,3.845,3.61,3.81,3.81,4835800
2/7/2022,3.91,4.08,3.78,3.84,3.84,6586500
