,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Engine Type,Condition,age_group,Price_groub,Views Performance
0,Motor Yacht,Rigiflex power boats,new boat from stock,2017,4.0,1.9,GRP,226,3403.7400000000002,Switzerland, Lake Geneva ,,new,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
1,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,75,3490.0,Germany, Bnningstedt,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
2,Sport Boat,Marine power boats,new boat from stock,0,3.69,1.42,Aluminium,124,3845.4,Switzerland, Lake of Zurich ,,new,,Cheap (less than 44290),Average (70-170)
3,Sport Boat,Pioner power boats,new boat from stock,2020,3.0,1.0,GRP,64,3367.0,Denmark, Svendborg,,new,Modern (built after 2018),Cheap (less than 44290),Low (less than 70)
4,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,58,3399.0,Germany, Bayern ,,new,Modern (built after 2018),Cheap (less than 44290),Low (less than 70)
5,Sport Boat,Linder power boats,new boat from stock,0,4.03,1.56,Aluminium,132,3723.0,Switzerland, Lake Constance ,,new,,Cheap (less than 44290),Average (70-170)
8,Fishing Boat,Crescent power boats,new boat from stock,2019,3.64,1.37,GRP,45,3333.0,Germany, Bayern ,,new,Modern (built after 2018),Cheap (less than 44290),Low (less than 70)
9,Pontoon Boat,Whaly power boats,new boat from stock,2018,4.35,1.73,GRP,180,3300.0,Italy, Dormelletto ,,new,Old (built between 2000-2017),Cheap (less than 44290),Good (more than 170)
10,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,239,3570.0,Switzerland, Seengen,Electric,Used,Very Old (built before 2000),Cheap (less than 44290),Good (more than 170)
11,Fishing Boat,Marine power boats,new boat from stock,0,4.13,1.41,Aluminium,145,3549.6,Switzerland, Lake of Zurich ,,new,,Cheap (less than 44290),Average (70-170)
12,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,69,3500.0,Italy, Lake Garda ,,Used,Old (built between 2000-2017),Cheap (less than 44290),Low (less than 70)
13,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,113,4692.0,Switzerland, Zugersee ,,new,Modern (built after 2018),Cheap (less than 44290),Average (70-170)
